ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,ADM3_REF,ADM3ALT1EN,Shape_Leng,Shape_Area,AREA_SQKM,Long,Lat
Masinloc,PH0307106,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.18889802286,0.02092617944,248.40699860900,120.05692228,15.53796727
Masinloc,PH0307106,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.18889802286,0.02092617944,248.40699860900,119.91450233,15.51964593
Olongapo City,PH0307107,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.98262004028,0.01184672089,141.09045321000,120.30672426,14.82696198
Olongapo City,PH0307107,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.98262004028,0.01184672089,141.09045321000,120.23461408,14.83217139
Olongapo City,PH0307107,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.98262004028,0.01184672089,141.09045321000,120.22647149,14.77141742
Olongapo City,PH0307107,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.98262004028,0.01184672089,141.09045321000,120.22530821,14.76394981
Palauig,PH0307108,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.95837917933,0.02599350698,308.69184707700,120.05055874,15.44657970
Palauig,PH0307108,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,0.95837917933,0.02599350698,308.69184707700,119.89469605,15.49497931
San Antonio,PH0307109,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.01878528776,0.01404749798,167.26133526000,120.10603674,14.88005241
San Antonio,PH0307109,Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,,,1.01878528776,0.01404749798,167.26133526000,120.10607534,14.76314357
